id,word,jpn,count,isRemembered
1,meticulously,注意深く,0,
2,prophecy,予言,0,
3,coeliac,腹腔の,0,
4,trouser,ズボンの,0,
5,seam,継ぎ目,0,
6,lyrical,叙情的な,0,
7,sip,少しずつ飲む,0,
8,cutlery,刃物類,0,
9,earl,伯爵,0,
10,diligence,勤勉,0,
11,venal,金で動かされる,0,
12,chic,上品さ,0,
13,inward,内部へ,0,
14,onslaught,猛攻撃,0,
15,precedent,先例,0,
16,confine,限る,0,
17,claw,かぎつめ,0,
18,countenance,顔つき,0,
19,strenuous,熱心な,0,
20,insolent,横柄な,0,
21,reagent,試薬,0,
22,renegade,背教者,0,
23,lavish,気前の良い,0,
24,desist,思いとどまる,0,
25,scamp,ならず者,0,
26,arthritic,関節炎の,0,
27,nuinous,破壊をもたらす,0,
28,hiccup,しゃっくり,0,
29,fallible,誤りやすい,0,
30,deplore,遺憾に思う,0,
31,stupor,昏睡,0,
32,hearten,鼓舞する,0,
33,sedation,鎮静作用,0,
34,clamour,大騒ぎ,0,
35,powerhouse,発電所,0,
36,caucus,幹部会,0,
37,impropriety,不適当,0,
38,grandly,雄大に,0,
39,skim,ざっと読む,0,
40,chucle,くすくす笑い,0,
41,uptight,ひとく緊張して,0,
42,frothy,泡のような,0,
43,stunt,発育を妨げる,0,
44,delve,探求する,0,
45,turret,小塔,0,
46,vestige,痕跡,0,
47,ovulation,排卵,0,
48,clampdown,取り締まり,0,
49,polemic,議論の,0,
50,scalpel,外科用メス,0,
51,authorial,著者の,0,
52,apprehend,捕らえる,0,
53,aquifer,帯水層,0,
54,inaudible,聞こえない,0,
55,croak,しわがれ声,0,
56,fiddler,バイオリンひき,0,
57,gymnastic,体操の,0,
58,plasticine,工作用粘土,0,
59,mediocrity,平凡,0,
60,extrinsic,外部の,0,
61,impertinent,生意気な,0,
62,gallantry,勇敢,0,
63,slyly,狡猾な方法で,0,
64,diocese,監督管区,0,
65,artistry,芸術的手腕,0,
66,playfully,じゃれて,0,
67,discus,競技用の円盤,0,
68,imperceptible,気づかれないほどの,0,
69,decorum,礼儀正しさ,0,
70,evangelist,伝道師,0,
71,feverishly,熱狂して,0,
72,sundial,日時計,0,
73,cadre,幹部,0,
74,travesty,戯画化する,0,
75,encampment,野営,0,
76,assailant,攻撃者,0,
77,savour,味わう,0,
78,upwind,風上,0,
79,stasis,血行停止,0,
80,nonsensical,無意味な,0,
81,misnomer,不適切な名前,0,
82,equine,馬のような,0,
83,limply,ぐにゃぐにゃと,0,
84,strut,もったいぶって歩く,0,
85,baronial,男爵の,0,
86,heretical,異教の,0,
87,tarn,小湖,0,
88,ooze,にじみ出る,0,
89,derisive,嘲笑的な,0,
90,commendation,推賞,0,
91,petulant,怒りっぽい,0,
92,immovable,不動の,0,
93,scud,すうっと飛ぶ,0,
94,draughty,吹き抜け,0,
95,obligingly,好意で,0,
96,spellbound,魔法にかかった,0,
97,cloister,回廊,0,
98,dowager,未亡人,0,
99,perishable,腐敗しやすい,0,
100,refinery,精製所,0,
101,banister,手すり,0,
102,candour,公平無私,0,
103,canteen,社員食堂,0,
104,nothingness,無,0,
105,decompression,減圧,0,
106,nibble,少しずつかじる,0,
107,workout,練習,0,
108,cloak,袖なしの外套,0,
109,leeway,横へのずれ,0,
110,encroach,侵入する,0,
111,vulgarity,俗悪,0,
112,codify,成文化する,0,
113,axon,軸索,0,
114,tributary,支流をなす,0,
115,fauna,動物相,0,
116,suffocation,窒息,0,
117,stratospheric,成層圏の,0,
118,coagulate,凝固させる,0,
119,moniker,名前,0,
120,mitigate,やわらげる,0,
121,empiricist,経験主義者,0,
122,plait,編んだもの,0,
123,lapel,折り襟,0,
124,scrappy,くずの,0,
125,retrace,引き返す,0,
126,devotional,祈祷の,0,
127,turnpike,高速道路,0,
128,dissipate,散らす,0,
